Cycle,PS_Peak1,PS_Peak2,PS_Peak3,PS_Peak1/Peak2,PS_Peak2/Peak3,A0_2,A2_5,A0_2/A2_5
Cycle_1,1353.1071127961764,1348.0785237254509,1174.8056963969004,1.0749337500482228,1.1815321475408214,-2.4729029889743891e-08,-3.1793573981429362e-08,-2.5703130166068909e-08
Cycle_2,2792.7569446583998,2249.8361608751184,2008.4560399926954,1.3454462103557288,1.2669208017512512,-1.8476901439546141e-08,-2.41964455612858e-08,-1.5679370135111314e-08
Cycle_3,1341.0434596771483,1010.784331377769,968.536563839064,1.3158675572723779,1.1103840414657726,2.5200533674797466e-09,-2.3944625206628989e-08,3.3974920340272311e-09
Cycle_4,3731.7439727538026,2757.918203212047,2181.9929450699128,1.3675593706814011,1.2689772042348533,2.5200533674797466e-09,-2.3934364728514825e-08,3.397492034333855e-09
Cycle_5,3636.7644778619679,2706.0160245875195,2104.7131748920965,1.4051605226682611,1.3398056630512833,2.5200533674797466e-09,-2.3892946691610492e-08,3.3974920344028807e-09
Cycle_6,1174.9882218813759,936.13720376773335,801.87169011064213,1.0224125515088378,1.1399819887160116,2.7576594029144053e-30,-2.373933028128031e-08,-1.580196996083176e-09
Cycle_7,2614.7132891345695,1594.4957419349143,1354.5984525969991,1.5707055066777702,1.211813202007394,3.2158109497020883e-29,-2.3739042396437825e-08,2.7369371423749048e-20
Cycle_8,3640.1209079867463,2687.5605537341839,2299.8151073689496,1.4860617894529926,1.1014077103434481,-1.8346814114503084e-08,-2.3470437881677341e-08,-1.6641795616060124e-08
Cycle_9,2457.8643363702163,1876.4681390911014,993.09555977891125,1.2182112398384362,2.0278642245811156,-1.864035901328895e-08,1.6241465163272832e-08,3.3974920346783737e-09
Cycle_10,612.10596815366682,618.51710107136898,414.99500075093778,1.0903076075523246,1.3246320619710259,3.6153936797801341e-08,1.5439884807181689e-08,2.4279358357120297e-08
Cycle_11,2215.6574379751169,1273.3010170836512,1074.7127005241066,1.6397324232163422,1.2485627711278624,-1.171721835345601e-09,-2.3367081854938017e-08,-1.6229298935477117e-09
Cycle_12,1564.7690507086847,1240.0087260431235,931.20889506158301,1.1025267689931824,1.4182670576598426,7.0156587811439098e-29,-2.326508546053555e-08,7.7019768916655494e-20
Cycle_13,3313.6602915808749,2349.4440080652776,2098.0206127960701,1.6717071510440811,1.1101242589371194,-1.1712509912320582e-09,-2.3258996931218158e-08,-1.6123566724010849e-09
Cycle_14,1359.9737892912965,1389.2984376280938,1182.6802813985896,1.0771876806325356,1.1822697478509152,-2.4468621089218021e-08,-3.1687372666762595e-08,-2.5600852221724424e-08
Cycle_15,1242.6566104210829,757.00105158277643,733.64353378389592,1.5668692252507443,1.0005513197140032,-2.5542640010919463e-08,-2.8871917979121507e-08,-2.1227234369488597e-08
Cycle_16,1028.9428451093977,719.90081778181161,536.30159264213353,1.2653675655365435,1.3123314423277148,1.7844517852760306e-08,3.4525142347152157e-08,1.0783199944008567e-08
Cycle_17,1217.2988633020702,1098.8931731277089,1103.7597733599923,1.1320963258753602,1.0342587591551471,-1.8334967553651811e-08,-2.7771023899339778e-08,-1.6247892878980148e-08
Cycle_18,1842.4189531767054,889.89857650616295,811.47269844606569,1.852530960841811,1.041251026563357,3.7420407675584566e-08,1.5303300890324177e-08,2.2847398344257646e-08
Cycle_19,1454.4583930473093,828.2238693035963,645.25383138071675,1.6502156113515059,1.2641454812814839,2.5200533674797466e-09,5.8029333100322278e-08,2.256595680669534e-08
Cycle_20,1378.798690469949,1054.3006751219652,565.00984263611599,1.3772742699809359,1.6437932088658838,6.0465005063865157e-08,1.8555581065378261e-08,3.3974920347831642e-09
Cycle_21,681.65704402482663,691.25680868822053,463.58718598119452,1.1003924579724083,1.2856143881078297,8.3072474588219506e-09,2.8267437305021611e-08,2.3530615243902549e-08
Cycle_22,872.12799737321018,723.8308238680869,689.57321863492393,1.1366276994796505,1.0786553446413036,2.9559744031831497e-08,5.0145965648598853e-08,5.471135582186161e-09
Cycle_23,1978.8239076499488,1213.6314356397731,1329.1743347824945,1.4237371878013074,1.0968493073499135,-1.1638348778924568e-09,-2.3245554967612109e-08,-1.6119293640639537e-09
Cycle_24,1095.0031120428043,899.25324884656584,577.60439961091083,1.1633433478055635,1.3586263371239693,1.7447649310435245e-08,5.144657080458033e-08,9.0283845080332092e-09
Cycle_25,4025.800044840541,3164.9334488132208,2348.0642477994161,1.3374745079201398,1.2792520930154399,2.1888109240869735e-29,-7.6228727243749569e-09,2.4388988852085192e-20
Cycle_26,2201.0103839210187,2054.3826146320812,1193.761863496009,1.13233411002972,1.6643048884177385,1.5064185736984866e-08,1.9086712511507158e-08,1.2080843390256812e-08
Cycle_27,2527.639527889437,1847.9633120234014,1223.4735251533871,1.2595425030595215,1.4618628465477148,1.2450309578206277e-08,3.6551683795654844e-08,3.2067257074471346e-08
Cycle_28,3401.2217081232702,2655.6112996594666,2164.2653735839031,1.4101316032410056,1.162214619945501,7.0852854263649227e-29,-7.6194899019067383e-09,8.4502073521355437e-20
Cycle_29,1908.5931884961378,1556.9641447432923,1325.4452964930902,1.2087427358208809,1.2653004769429272,2.5200533674797466e-09,1.8166155838681651e-08,1.5293690089669437e-08
Cycle_30,1376.8516695880239,1056.2690234400836,940.46101470850601,1.3612746929068313,1.0912024772794482,4.6154247399450601e-29,-3.0580589138583801e-08,5.7939195423933693e-20
Cycle_31,1796.5723916429656,1744.2576958628315,773.96376356828944,1.0432663133349935,1.8654920667488601,2.5200533674797466e-09,-2.8591451952465559e-08,3.3974920340256562e-09
Cycle_32,732.98438063895321,718.83278232528892,592.69501472539264,0.99230941967302377,1.174201451532489,-2.2871857617464525e-08,-3.3516602541072815e-08,-2.2490239418559116e-08
Cycle_33,1874.4263210728006,1040.8055382825532,903.09211830890467,1.8108232340624517,1.1481711873301248,1.2457755175875418e-29,-7.6068784598713931e-09,1.8738848389148274e-21
Cycle_34,1695.064264901539,902.0753067573811,738.22037016909417,1.6961804637408362,1.1855041857910236,1.3170685060332298e-29,-7.5918037643677308e-09,4.6856747628156504e-21
Cycle_35,1311.9463308413006,1033.3505441427476,763.14513404233401,1.1693203282621756,1.265059900348396,1.053359407794288e-08,4.2041174064565644e-08,1.5161236534537166e-08
Cycle_36,1345.7564594113619,1012.0492174091195,971.52095771017673,1.3259643521662106,1.1110438835805274,2.5200533674797466e-09,-7.5909012266244308e-09,3.3974920340288082e-09
Cycle_37,4239.9468441808003,2826.7489835863398,2378.6656840445648,1.4712855759139487,1.1881040717207387,4.2752884198720234e-29,-7.583193617671691e-09,2.8088133665910395e-20
Cycle_38,2180.165844354598,1451.8236322488958,791.98459536540281,1.4682855297556041,1.5879121662074247,3.3495863637206247e-08,4.8332976013379182e-08,-2.117419515354481e-08
Cycle_39,1704.1162461326769,906.74111799359503,797.62566072410732,1.6889127713323007,1.106567661375917,4.3766936007212625e-29,-7.5730477169155967e-09,4.3818708263147865e-20
Cycle_40,1813.7407830126406,1675.8444204371651,605.05540175772273,1.1016210594266216,2.4947327656620386,-2.4468410536792442e-08,-3.1585494685700944e-08,-2.4704871273016213e-08
Cycle_41,775.01668841819082,571.93025824810195,496.02058561076859,1.4413894892718504,1.0478421424181195,1.8743993098347222e-08,7.1383828712157797e-08,1.1879221482295499e-08
Cycle_42,2195.0161712231065,1183.7853796106376,1274.2207808548328,1.6879737697917108,1.1176581848817873,2.5200533674797466e-09,-7.5696517247169582e-09,3.3974920341290289e-09
Cycle_43,1040.4811712493195,831.90524411906495,613.30974307195288,1.2166854177840642,1.2749124703195189,1.4582292632974895e-08,1.836350972268823e-08,2.8712158364168495e-08
Cycle_44,1284.0453580685012,850.97885244973929,595.34035110346258,1.4355189123529273,1.3056778298179992,1.4169465199529309e-31,-7.5687605229845215e-09,-1.6039834171601696e-09
Cycle_45,2322.4599714815704,1960.4548163367112,1354.8552329223846,1.1415614643379948,1.4522529427859845,-1.9544610453029526e-08,-2.8531874042149974e-08,-1.9111189733947152e-08
Cycle_46,3677.3009161847253,3416.3680024048681,2799.6817665410445,1.2250026503320863,1.1667972179558557,4.3816649994494384e-29,-7.5592649752925669e-09,4.4110278668368484e-20
Cycle_47,1832.7035965171665,1238.8930584603106,863.31281298652698,1.3413131459650114,1.3534493902118245,3.0397418621826286e-09,2.1223978804179299e-08,3.0752710216658988e-08
Cycle_48,1865.1419784813256,1322.6462371787125,1250.9904954234516,1.4063113909553884,1.1420046620139022,5.8956553494426826e-09,-3.2282701778603047e-08,4.5095860346384526e-08
Cycle_49,1328.1926200171176,1181.386134311437,511.13438814772775,1.0545128620877704,2.4789922007537704,4.4689772534866861e-08,5.3705624188510892e-08,2.590076969631884e-08
Cycle_50,1728.8628891391302,1055.9391642458613,1007.0329550049022,1.6121576034728184,1.0713751368262956,2.5200533674797466e-09,-7.5427055373321571e-09,3.3974920339848323e-09
Cycle_51,870.86035704308472,819.07849239406198,623.65270844923702,1.0792638465648463,1.2251557248560419,9.6342691496154845e-09,4.6028135814996203e-08,5.9536747327117048e-09
Cycle_52,2919.6722380396864,2139.27634508244,1784.0157040206036,1.4222267852036703,1.3332551669114086,2.5200533674797466e-09,-7.5362121903983044e-09,3.3974920342493895e-09
Cycle_53,1222.7201334758561,762.32816581236693,548.09197801967468,1.4928825830455958,1.3196471977308832,9.1251343835872151e-09,1.3178324110815168e-08,4.7093572812777605e-08
Cycle_54,1376.282389545798,966.03793012468384,890.39034998328464,1.3141083366613959,1.1191023855109581,4.397141943575118e-29,-7.5191431347368165e-09,4.5934968486146169e-20
Cycle_55,1050.0909751425802,698.51468350784603,600.39965603837686,1.4980520622565192,1.0591577350421606,-2.5227488845928861e-08,-2.88520868261064e-08,-2.1549022000477181e-08
Cycle_56,1772.0650167952758,955.30764104633363,863.31281298652698,1.7213857951312754,1.1231636782194407,2.5200533674797466e-09,-7.517780052625655e-09,3.3974920340058675e-09
Cycle_57,1296.8679314702922,1025.9908217450343,892.36851307187192,1.1587543796591731,1.1567999904505999,2.5200533674797466e-09,-7.5164914130250246e-09,3.3974920341314633e-09
Cycle_58,4319.01367170515,2720.3927161537786,2522.2106708122719,1.6457902235070447,1.0571867322304409,2.5200533674797466e-09,-7.4998752618191934e-09,3.3974920340700042e-09
Cycle_59,2972.7488267164472,1967.8959623310507,2004.1742592958865,1.4916015691413609,1.2193691671600948,1.00974195868e-28,-7.4998436140595317e-09,8.5977851978139136e-20
Cycle_60,1184.3297913908054,1119.7935226818045,992.93278836570801,1.0676679920133278,1.1601534844445818,1.00974195868e-28,-2.7724542821069724e-08,1.00974195868e-19
Cycle_61,1220.1294414308229,1087.7917582579214,1028.2243489982443,0.9803076313379897,1.0922572997672808,2.5200533674797466e-09,0,3.3974920341336992e-09
Cycle_62,1911.0124930181003,1119.428750181424,1116.0780402909832,1.7200734190954694,1.0860510350007728,4.3886014493443561e-08,5.5868768692187438e-08,3.3974920346876629e-09
Cycle_63,851.69275907333986,595.53372447328377,513.17698313452615,1.5987044621681827,1.0187455314568405,2.5200533674797466e-09,5.6588914364223523e-08,2.9443226291786142e-08
Cycle_64,1336.1558211130123,1407.5634390677508,587.50185270237421,1.0025596338335738,2.3466291671182877,2.5200533674797466e-09,-2.8463311367902687e-08,3.3974920339653725e-09
Cycle_65,1130.1427757518195,771.87385529956259,631.04079582696363,1.3885643590070138,1.1276897160706756,4.744077708679041e-08,3.0196279541508171e-08,1.572931324631218e-08
Cycle_66,851.37455452968447,648.38707433228694,502.83036215280464,1.278303098347273,1.1956992945738951,-2.8034948998635608e-08,-3.0526967897112048e-08,-2.1934189945760974e-08
Cycle_67,3449.6760562351051,2705.8013602852302,2111.8268028187194,1.3643560838169593,1.2856940473915539,2.5200533674797466e-09,0,3.3974920340703297e-09
