Cycle,PS_Peak1,PS_Peak2,PS_Peak3,PS_Peak1/Peak2,PS_Peak2/Peak3,A0_2,A2_5,A0_2/A2_5
Cycle_1,967.34595011069871,557.05676818658014,547.20403716403655,1.610450864696084,1.2527446496826469,7.7838805807570381e-09,6.0445754772907352e-08,4.3360332544256347e-08
Cycle_2,909.93193862901921,801.65351711536778,648.91042320302108,0.96212429903055918,1.4140777187582716,1.0039784910396507e-08,3.3075085018241517e-08,8.8121229684595264e-09
Cycle_3,1027.5041578413061,810.07937703331936,1007.2240181283175,1.2519734139630145,1.0065490073041861,5.515209795998254e-09,-2.1495489136774588e-08,1.5790771114744049e-19
Cycle_4,3076.3665910100012,2051.5618544409595,1867.641792588521,1.5849192047825256,1.1689176681221356,5.515209795998254e-09,-2.1415510342980939e-08,2.7326185469654372e-19
Cycle_5,2420.9708123351306,1545.8748233814938,1422.7152231791804,1.7413351201411689,1.0386242488125421,-2.0641598449303271e-08,-2.1404105474301632e-08,-1.948407422899741e-08
Cycle_6,1249.7575020436609,544.86292258853803,664.13697746118817,1.8506606328791817,0.97779234005515292,4.8630084249242687e-08,2.9838253380312284e-08,2.3896592660053129e-08
Cycle_7,1946.0826649305427,1500.7568099789414,969.29640998527464,1.3874701905495439,1.3965786315752349,5.515209795998254e-09,-2.4135054228010445e-08,1.3464036073069477e-18
Cycle_8,730.59528777910032,598.26920328471215,528.16712078549358,1.0630703583281278,1.3811130295546108,3.5387511757501946e-30,-2.1228333753135573e-08,-1.5380730090594076e-09
Cycle_9,4235.4329737189582,3996.9914623787145,2780.6402456675055,1.4882084718150566,1.1562531136100545,5.515209795998254e-09,-2.1213308813361818e-08,6.408934347711597e-19
Cycle_10,6369.2819456164971,4545.8364782221761,3943.1872592778514,1.5621159841089851,1.0337548254169748,5.515209795998254e-09,-2.1211034577108384e-08,3.5424554681622322e-09
Cycle_11,965.35869868786244,483.17028094044963,599.6178111555331,1.6707455388918111,1.0124943717722099,2.318368360023012e-30,-2.1195221156191069e-08,-1.5380730090665968e-09
Cycle_12,5326.0733973341694,4158.5801640301079,3841.8292035127788,1.5149539753319665,1.0355030270445045,5.515209795998254e-09,-2.1179903501956172e-08,2.7513061065403535e-19
Cycle_13,2090.6230401741818,854.58694898880617,1014.206187979055,1.9269305181196656,1.0025332833717118,-2.0618823108844006e-08,-2.3917069646879221e-08,-1.8495302256697978e-08
Cycle_14,2974.9427820599713,2639.3849906447667,1560.3583220404307,1.1608547997218621,1.6388233792778264,-2.0515529442835391e-08,-2.1124756351678313e-08,-2.131061715511786e-08
Cycle_15,1108.7493857592583,876.12500925428628,659.68146361300728,1.1980468525076329,1.4615592803907955,5.8489784620533853e-09,3.367754039287166e-08,2.6581322138537226e-08
Cycle_16,1531.5556545348163,1377.9063922736395,736.33021656414599,1.1352850163680741,1.6546504055311055,2.5903444515493227e-08,3.0736534367203529e-08,4.8028880197639231e-08
Cycle_17,1281.4665868441739,1249.5786833021273,900.49524659078725,1.1148389018386795,1.3034021130611322,-2.0321183265633552e-08,-2.3812729703874115e-08,-1.8243914381830247e-08
Cycle_18,1017.6583972237188,676.27465518347003,746.71080397780554,1.4148045794333459,1.0345165208816285,-4.8810196164376968e-30,-2.1120516462442335e-08,-1.5380730090795217e-09
Cycle_19,2325.4112568841974,2058.0685796539819,1037.6357399237233,1.3034517077923229,1.6250364856627431,-2.0274508686731826e-08,-2.3633382671719203e-08,-2.1411228433147257e-08
Cycle_20,763.67496038204604,456.02540864419029,572.10791528446919,1.3088428363059315,1.0108615079717513,2.7211579066377053e-08,2.428753882975333e-08,1.2272464614448838e-08
Cycle_21,1364.5998159855612,1193.1559926338864,451.06225234655034,1.2095350888474465,2.172154546052365,1.2111406107225949e-08,4.6645559201695156e-08,-1.8181122476082864e-08
Cycle_22,1482.8517558779347,1328.1419787778564,933.77224932321292,1.279496041339971,1.3496720863875513,1.4268121612898967e-08,3.5379914349756688e-08,6.2334092730253055e-08
Cycle_23,2891.6941226735553,1672.0458047982597,1153.7904201414967,1.7630509253545139,1.2984284999050379,5.515209795998254e-09,-2.1108296950155696e-08,1.7158024755136345e-19
Cycle_24,2525.3945639912376,1660.3904442944126,1129.6022959925708,1.5597384129829612,1.3053405291688236,5.515209795998254e-09,-2.1042560393430172e-08,7.0258223870838619e-19
Cycle_25,938.79596700476804,676.18867229630018,547.61443913059338,1.2273091334734323,1.3331635276913467,8.6030024779489274e-08,6.7236524441121553e-08,2.9686695857721628e-08
Cycle_26,2594.0609790499375,1545.747369813525,1347.2545158334594,1.7416478530345849,1.0554247931340404,5.515209795998254e-09,-2.1015821583765572e-08,3.4196829765491017e-09
Cycle_27,2659.3168912032597,1915.9554307614824,1197.0824647773343,1.4034479379312383,1.3689416064878368,5.515209795998254e-09,-2.0960587936951903e-08,4.1734740920779752e-19
Cycle_28,1502.2837435211188,1372.2594267058096,720.72550764851258,1.1368908260610637,1.6886735647190156,-2.53442308893331e-08,-2.7518712191706383e-08,-2.1774131254390777e-08
Cycle_29,761.96734981649945,644.51316385251494,578.91513193077446,1.0157385194737731,1.255739596845838,-2.2730130723868878e-08,-2.6525336694536936e-08,-1.538073009088959e-09
Cycle_30,2590.2733207773967,1692.6768524328834,1411.9397604638007,1.533886024925025,1.175795582530095,4.6740219263779569e-29,-2.0921404387034575e-08,-1.5380730090183401e-09
Cycle_31,1977.4826034701409,908.42691270501064,940.44237046251828,1.7836201555634528,1.1294248044113093,5.515209795998254e-09,-2.0830838812913783e-08,8.7451005110615574e-19
Cycle_32,2365.5468085123189,1505.1127852385214,1286.2865006438392,1.8280434831385295,0.99131237685890727,5.515209795998254e-09,-2.0741595683819361e-08,4.1236511980325451e-19
Cycle_33,747.82148779840372,509.17841983544599,460.59299439249247,1.2745254633616812,1.1987602683606129,-2.2588823335673719e-08,-2.6279721334700147e-08,-1.5380730090850005e-09
