Cycle,PS_Peak1,PS_Peak2,PS_Peak3,PS_Peak1/Peak2,PS_Peak2/Peak3,A0_2,A2_5,A0_2/A2_5
Cycle_1,2685.6562271656262,1538.7277783957302,1000.1876691390673,1.8998159847567069,1.4081983999695651,-3.2637910050809626e-09,-2.7385298559523577e-08,-1.7831949309020834e-09
Cycle_2,2454.2000289503999,2148.5632797098779,1687.6227586923787,1.0861990420020964,1.2490002608821118,-2.3704676257846073e-08,-2.9048538814095339e-08,-1.783194930905491e-09
Cycle_3,2623.143343819992,1000.2451018198003,889.93423441105392,2.5906196164372517,1.0415489368935109,5.0132135002490861e-08,7.545818211541009e-08,5.3989198588854914e-08
Cycle_4,13081.911172032867,9983.3422529729687,9890.5366858911239,1.152776241123848,1.0373943235913046,1.630142457855306e-27,-2.7354550056060867e-08,7.0964675170488226e-19
Cycle_5,2121.1250948307124,1756.9742051753865,1269.4650830302137,1.0673642382178881,1.2576237451751253,-2.3639690185120889e-08,-2.8985457087275861e-08,-6.9206664515335721e-09
Cycle_6,7305.2491114152017,6197.2484086599234,6046.7264470231985,1.2609783369285388,1.0868654995461917,-3.2637910050809626e-09,-2.7214270577454655e-08,-1.7831949308040559e-09
Cycle_7,4456.4711084317369,2844.8654028505912,2411.3969633868128,1.7097142137095813,1.1551917139536394,9.4403933029288553e-28,-2.7153306607249229e-08,5.3911954577771687e-19
Cycle_8,6225.3019152047482,4846.3136565620625,3433.9915971077817,1.4503507807138056,1.3710865257799729,1.7910370548207211e-28,-2.7140981035625268e-08,1.797535632313143e-19
Cycle_9,7528.6777647587378,8282.4078864796484,6757.0641468936183,1.1534856546764627,1.2421591278661404,3.0082992443629249e-28,-2.709007218839714e-08,3.0904505260558547e-19
Cycle_10,4912.3506634411242,3953.7416147996469,3218.9902421698594,1.643992311935095,1.1773593585468105,-3.2637910050809626e-09,-2.7083186150516396e-08,-1.783194930802173e-09
Cycle_11,8000.7762210411474,8511.8329540022223,6261.3385297903451,1.1587464946407173,1.3380617107572701,6.4749418610841296e-28,-2.7017743707695258e-08,4.3074469415651847e-19
Cycle_12,4492.419780978551,3367.4386712059882,2532.2067101980124,1.6243830856857806,1.3140017697331967,-3.2637910050809626e-09,-2.7004810678064752e-08,-1.7831949307790945e-09
Cycle_13,6382.964795062614,5445.1410153504821,5029.4228488097988,1.2240744060640472,1.1696390206784784,1.519707416381876e-28,-2.6990264120658834e-08,1.7790234680570322e-19
Cycle_14,2325.9434033599073,1876.5991341834492,1547.1487152347327,1.126480932608364,1.0987570126428139,4.3396117845308747e-08,4.02669613456835e-08,4.5263562414485859e-08
Cycle_15,1046.6695383271526,997.01484234978898,897.45595191129519,1.0656744149105868,1.025729763701452,-3.2637910050809626e-09,-2.8428240687964671e-08,-1.7831949309018719e-09
Cycle_16,4874.6133871943384,4343.4546780165674,3798.974768955693,1.1631808748786319,1.0659325913269377,9.239848451771064e-09,-2.6972742015659214e-08,1.119972343309744e-18
Cycle_17,2509.3075779279607,1415.9475823812713,1016.5067240166014,1.975050223795197,1.2049531278050039,-3.2637910050809626e-09,-2.6944717255732326e-08,-1.7831949307850841e-09
Cycle_18,2292.9779788154892,2022.1700215912401,1405.5572526489186,1.0031965481764791,1.3973431082081589,-2.3392634223040549e-08,-2.8969977994421732e-08,-1.7831949309072556e-09
Cycle_19,5137.5993271764401,4598.9822008715655,3994.209959277006,1.1169406464714575,1.1385753965382379,4.0917111281994606e-28,-2.6927415231187681e-08,4.0260201069517029e-19
Cycle_20,6634.4478560968164,5411.6411612908796,4131.6936419828535,1.2667482028561108,1.2850918264093429,1.7919733233681256e-28,-2.6858556861824641e-08,1.8116978846517386e-19
Cycle_21,13150.263091945822,9801.3865234690547,8896.3129474967027,1.1769551870623745,1.3252861945509495,9.8583222648104383e-28,-2.6815513616549913e-08,5.5414318112269515e-19
Cycle_22,1753.1262379673258,1011.9790523994895,708.06127848311189,1.599910376346231,1.3693117452429473,-2.6016974703155122e-08,-3.0212095387106266e-08,-2.5817522047419174e-08
Cycle_23,5870.3659069903124,4709.8309787398575,3525.7826618521767,1.6600324877582828,1.290254474021324,4.2573855452586671e-28,-2.669043366673743e-08,4.1246828308757266e-19
Cycle_24,3424.3704215278185,2253.166478201822,1873.6232084739738,1.509432582545114,1.2177458707135951,-2.3176767724116666e-08,-2.8897859174667276e-08,-7.2808344710441441e-09
Cycle_25,1837.2583885816382,1576.4842520601524,1470.11004005325,1.0627519220145842,1.015254670379381,-2.3071633501339656e-08,-2.8893187960867968e-08,-1.7831949309035833e-09
Cycle_26,2882.9202090493459,1372.4072803563699,1075.2958868436742,2.3137346486823858,1.0778980324237035,-2.5922786124392739e-08,-3.0197609369924224e-08,-2.5598860775753177e-08
Cycle_27,833.93744448776943,584.84151343973417,587.80989662868615,1.4022240224537339,1.0213290612798509,3.9798560540812048e-28,-2.6516777655830774e-08,3.9793288537341483e-19
Cycle_28,3339.7060657273441,2181.9602362020928,1643.8290236617886,1.7010242675134859,1.3987989615682983,1.4101415120979717e-27,-2.6510990768937216e-08,6.7729570512506963e-19
Cycle_29,3010.3889776808219,2207.5939607505288,2220.5600972990896,1.489256648085874,1.0245474757938189,1.7920478749684474e-28,-2.6329167787368956e-08,1.8130369134963573e-19
Cycle_30,1605.9173953072957,866.77516739380076,842.15421045251765,1.7355445162503349,0.98735499573801844,3.9150537611801398e-28,-2.623713338175553e-08,3.9715095056299133e-19
Cycle_31,5041.5701193117748,4013.2167203003287,3408.7053711784824,1.585381859803247,1.0646818508017877,3.1469203437612512e-28,-2.6164764516034167e-08,3.3185741661068625e-19
Cycle_32,2402.091110162216,1478.5234674312219,1235.6868699581983,1.7421786287808214,1.028849620420498,1.7815823813523696e-28,-2.607430404985267e-08,1.7859713160712224e-19
