Cycle,PS_Peak1,PS_Peak2,PS_Peak3,PS_Peak1/Peak2,PS_Peak2/Peak3,A0_2,A2_5,A0_2/A2_5
Cycle_1,1024.8729512267798,999.43222768200064,742.84519158187175,1.0680925088417519,1.3234436015566462,-1.3541008529328831e-08,-1.7681910038412193e-08,-1.5990977932589429e-08
Cycle_2,1030.6886386467797,980.85884002400064,713.95390310091364,1.0951980525317517,1.3487151731266462,-1.3541008529328831e-08,-1.7681910038412193e-08,-1.5990977932578209e-08
Cycle_3,820.67243936877981,779.80096613876231,679.92533968991359,1.0548679341217517,1.1695555973399376,9.2559679545899975e-29,-1.7681910038412193e-08,9.2559679545899993e-20
Cycle_4,849.92373702077975,734.64050415376232,658.51327334191353,1.1589923530417519,1.1385263867999376,-1.3541008529328831e-08,-1.7681910038412193e-08,-1.5990977932578209e-08
Cycle_5,1020.8587289967797,936.15413559200067,709.62368641291357,1.1385953952517518,1.2932457083466462,2.0475323050989999e-28,-1.7681910038412193e-08,2.0475323050989999e-19
Cycle_6,1322.386627955,1190.2230022130007,468.85906942491357,1.0977698983217519,2.5175755509266464,-1.3541008529328831e-08,-1.7681910038412193e-08,-1.5990977932564187e-08
Cycle_7,944.01422429577974,806.46936940176226,723.06397002687174,1.1723573543017518,1.1383908221199377,4.1511613856890002e-28,-1.7681910038412193e-08,4.1511613856889997e-19
Cycle_8,813.43225538677984,776.79493473976231,581.90321976291352,1.0496560150317518,1.3683757954566462,-1.3541008529328831e-08,-1.7681910038412193e-08,-1.5990977932431656e-08
Cycle_9,873.04830538277974,779.85036415376237,551.03862402291361,1.1216314645417518,1.4514372990966462,-1.3541008529328831e-08,-1.7681910038412193e-08,-1.5990977932589429e-08
Cycle_10,1032.5031925567798,927.08343030200069,572.10574503191356,1.1632083309917518,1.5909248453566462,-1.3541008529328831e-08,-1.7681910038412193e-08,-1.5990977932470924e-08
Cycle_11,882.80243785977973,791.5286175187623,803.00061343087168,1.1174242632417517,1.0051083403299377,-1.3541008529328831e-08,-1.7681910038412193e-08,-1.5990977932586623e-08
Cycle_12,740.84663607977973,737.37573174176237,634.0684645219136,1.0075607033117517,1.1918698220966464,-1.3541008529328831e-08,-1.7681910038412193e-08,-1.5990977932578209e-08
Cycle_13,705.14826195677983,700.8117636357623,606.94861298191358,1.0091894752117518,1.1844627416966462,-1.3541008529328831e-08,-1.7681910038412193e-08,-1.5990977932586623e-08
Cycle_14,935.2845761927797,852.00983752300067,608.25356485991358,1.1511248478117517,1.3703206263966463,1.4585161625389998e-28,-1.7681910038412193e-08,1.4585161625389999e-19
Cycle_15,881.15077278677973,767.61432237676229,708.4442605999136,1.1499259996317517,1.1046014996899376,5.8340646501690006e-28,-1.7681910038412193e-08,5.8340646501689996e-19
Cycle_16,1275.424154775,1102.2829114330007,801.46310967587169,1.1442030233317517,1.3558880822466464,2.0475323050989999e-28,-1.7681910038412193e-08,2.0475323050989999e-19
Cycle_17,991.93035549977981,743.92373337376227,634.84336092491355,1.3345039475717517,1.2008572841766463,-1.3541008529328831e-08,-1.7681910038412193e-08,-1.5990977932564187e-08
Cycle_18,892.06092448577988,712.46394760276235,461.85824799989314,1.2537015072417519,1.5868912970766462,-1.3541008529328831e-08,-1.7681910038412193e-08,-1.5990977932409921e-08
Cycle_19,984.94739303677966,811.84671865776227,469.05561528791355,1.2148087003617518,1.7779598677766462,-1.3541008529328831e-08,-1.7681910038412193e-08,-1.5990977932544553e-08
Cycle_20,1050.3179713067798,736.78395391676236,601.73304824291358,1.4262027155417518,1.2554420785766462,1.4585161625389998e-28,-1.7681910038412193e-08,1.4585161625389999e-19
Cycle_21,826.04778745477984,679.4132205487623,657.25082804391354,1.2177393718617517,1.0556182406699377,-1.3541008529328831e-08,-1.7681910038412193e-08,-1.5990977932409921e-08
Cycle_22,1039.6707032667798,748.75373742976228,514.1135604839136,1.3893707897817518,1.4954076913066463,-1.3541008529328831e-08,-1.7681910038412193e-08,-1.59909779325719e-08
Cycle_23,769.28969532077986,580.92902622676229,551.66118363591363,1.3257862258217519,1.0790189762999376,-1.3541008529328831e-08,-1.7681910038412193e-08,-1.59909779325719e-08
Cycle_24,908.2699173727799,723.09156504076236,506.17239200191358,1.2576679921917517,1.4675958962366462,-1.3541008529328831e-08,-1.7681910038412193e-08,-1.5990977932578209e-08
Cycle_25,832.18528350277984,741.39736970076228,579.7497527039136,1.1246814955417519,1.3115499997366462,-1.3541008529328831e-08,-1.7681910038412193e-08,-1.59909779325719e-08
Cycle_26,696.1755565507799,686.37901812576229,679.44467281091363,1.0172951721717518,1.0311681863099376,-1.3541008529328831e-08,-1.7681910038412193e-08,-1.5990977932519307e-08
